learning_rule,seed,epoch,replay_loss,validation_loss
gradient_descent,42,1,0.3627836767387037,0.309534859532851
gradient_descent,42,2,0.3752723282697131,0.30931953130082035
gradient_descent,42,3,0.3201906590053484,0.30917854821667373
gradient_descent,42,4,0.3666477820279347,0.30896290027315865
gradient_descent,42,5,0.38928492455248953,0.3086850810383389
gradient_descent,42,6,0.33888823640355714,0.3084732235335231
gradient_descent,42,7,0.26812708759371034,0.3083044179155248
gradient_descent,42,8,0.3115072783257319,0.30812135567274856
gradient_descent,42,9,0.35941189749464586,0.3078577945950112
gradient_descent,42,10,0.34913414428711137,0.3076237212655243
gradient_descent,42,11,0.3577302568585825,0.3073500817350806
gradient_descent,42,12,0.3825369333342955,0.307040211057622
gradient_descent,42,13,0.3171200439817076,0.3068338073133374
gradient_descent,42,14,0.39001901044652376,0.3066109216582036
gradient_descent,42,15,0.2512707803014457,0.30646784367509816
gradient_descent,42,16,0.2658433081151268,0.3062709814292083
gradient_descent,42,17,0.3380508061498303,0.30604268983728206
gradient_descent,42,18,0.29034943288379744,0.3058787573980155
gradient_descent,42,19,0.32481672455607424,0.3056602056509935
gradient_descent,42,20,0.3770076000836711,0.30538100553220443
gradient_descent,42,21,0.288904450853639,0.3052437892826886
gradient_descent,42,22,0.26897708915010743,0.30511231304707337
gradient_descent,42,23,0.26188624928192356,0.3049428932423433
gradient_descent,42,24,0.3491874484044667,0.3046998412334691
gradient_descent,42,25,0.4034872343232189,0.30436914340185106
gradient_descent,42,26,0.2847341585273083,0.30418027864899183
gradient_descent,42,27,0.4264456588053459,0.3039156732940449
gradient_descent,42,28,0.39468388323941583,0.3036713971108295
gradient_descent,42,29,0.26190152137768313,0.3034996216581219
gradient_descent,42,30,0.38555579397558193,0.30323667961787754
gradient_descent,42,31,0.3622086403050347,0.3030627821279632
gradient_descent,42,32,0.4049672803385125,0.3028245855390048
gradient_descent,42,33,0.4132329682719138,0.30258525888027965
gradient_descent,42,34,0.44614558499074175,0.3023098339222439
gradient_descent,42,35,0.2614808186998864,0.3021448356313912
gradient_descent,42,36,0.3301643883032208,0.30193904002796695
gradient_descent,42,37,0.2807177677153496,0.30181794868115785
gradient_descent,42,38,0.3763601861239023,0.3015544271934911
gradient_descent,42,39,0.3423870204358205,0.3013854689664723
gradient_descent,42,40,0.2986505606924482,0.30120677787953837
gradient_descent,42,41,0.3115006952960171,0.30104958435760154
gradient_descent,42,42,0.27555206172461755,0.30089265200937837
gradient_descent,42,43,0.3300984494333112,0.3006923974499148
gradient_descent,42,44,0.2976805149806497,0.30053812877181874
gradient_descent,42,45,0.274400738406527,0.3003572571529511
gradient_descent,42,46,0.3066748635649459,0.30014996798897314
gradient_descent,42,47,0.33221407278506176,0.29993803406302755
gradient_descent,42,48,0.33984380290632976,0.29974153816527804
gradient_descent,42,49,0.44545675502558635,0.29943776066862077
gradient_descent,42,50,0.34860056594323297,0.2992260928981872
gradient_descent,42,51,0.43562988532550967,0.29896399420714453
gradient_descent,42,52,0.3603494554329454,0.2987391980746971
gradient_descent,42,53,0.31462266807409184,0.2985597274067151
gradient_descent,42,54,0.31742212483284793,0.29839453630122137
gradient_descent,42,55,0.35480102341874176,0.2981941338455836
gradient_descent,42,56,0.31962354813524513,0.29799293516603736
gradient_descent,42,57,0.30489095016347967,0.2978199948340804
